Signal Legend:

Key        Signal Name

0        = rx
1        = RISC_V_Core:CORE|Reg_PC:PCREG|Q[31..0]
2        = UART_Full_Duplex:UART|Reg_Param:RXREG|Q[7..0]

Data Table:

Signals-> 0 1         2   

sample

435       1 00000070h 0Ch 
436       1 00000074h 0Ch 
437       1 00000070h 0Ch 
438       1 00000074h 0Ch 
439       1 00000070h 0Ch 
440       1 00000074h 0Ch 
441       1 00000070h 0Ch 
442       1 00000074h 0Ch 
443       1 00000070h 0Ch 
444       1 00000074h 0Ch 
445       1 00000070h 0Ch 
446       1 00000074h 0Ch 
447       1 00000070h 0Ch 
448       1 00000074h 0Ch 
449       1 00000070h 0Ch 
450       1 00000074h 0Ch 
451       1 00000070h 0Ch 
452       1 00000074h 0Ch 
453       1 00000070h 0Ch 
454       1 00000074h 0Ch 
455       1 00000070h 0Ch 
456       1 00000074h 0Ch 
457       1 00000070h 0Ch 
458       1 00000074h 0Ch 
459       1 00000070h 0Ch 
460       1 00000074h 0Ch 
461       1 00000070h 0Ch 
462       1 00000074h 0Ch 
463       1 00000070h 0Ch 
464       1 00000074h 0Ch 
465       1 00000070h 0Ch 
466       1 00000074h 0Ch 
467       1 00000070h 0Ch 
468       1 00000074h 0Ch 
469       1 00000070h 0Ch 
470       1 00000074h 0Ch 
471       1 00000070h 0Ch 
472       1 00000074h 0Ch 
473       1 00000070h 0Ch 
474       1 00000074h 0Ch 
475       1 00000070h 0Ch 
476       1 00000074h 0Ch 
477       1 00000070h 0Ch 
478       1 00000074h 0Ch 
479       1 00000070h 0Ch 
480       1 00000074h 0Ch 
481       1 00000070h 0Ch 
482       1 00000074h 0Ch 
483       1 00000070h 0Ch 
484       1 00000074h 0Ch 
485       1 00000070h 0Ch 
486       1 00000074h 0Ch 
487       1 00000070h 0Ch 
488       1 00000074h 0Ch 
489       1 00000070h 0Ch 
490       1 00000074h 0Ch 
491       1 00000070h 0Ch 
492       1 00000074h 0Ch 
493       1 00000070h 0Ch 
494       1 00000074h 0Ch 
495       1 00000070h 0Ch 
496       1 00000074h 0Ch 
497       1 00000070h 0Ch 
498       1 00000074h 0Ch 
499       1 00000070h 0Ch 
500       1 00000074h 0Ch 
501       1 00000070h 0Ch 
502       1 00000074h 0Ch 
503       1 00000070h 0Ch 
504       1 00000074h 0Ch 
505       1 00000070h 0Ch 
506       1 00000074h 0Ch 
507       1 00000070h 0Ch 
508       1 00000074h 0Ch 
509       1 00000070h 0Ch 
510       1 00000074h 0Ch 
511       1 00000070h 0Ch 
512       1 00000074h 0Ch 
513       1 00000070h 0Ch 
514       1 00000074h 0Ch 
515       1 00000070h 0Ch 
516       1 00000074h 0Ch 
517       1 00000070h 0Ch 
518       1 00000074h 0Ch 
519       1 00000070h 0Ch 
520       1 00000074h 0Ch 
521       1 00000070h 0Ch 
522       1 00000074h 0Ch 
523       1 00000070h 0Ch 
524       1 00000074h 0Ch 
525       1 00000070h 0Ch 
526       1 00000074h 0Ch 
527       1 00000070h 0Ch 
528       1 00000074h 0Ch 
529       1 00000070h 0Ch 
530       1 00000074h 0Ch 
531       1 00000070h 0Ch 
532       1 00000074h 0Ch 
533       1 00000070h 0Ch 
534       1 00000074h 0Ch 
535       1 00000070h 0Ch 
536       1 00000074h 0Ch 
537       1 00000070h 0Ch 
538       1 00000074h 0Ch 
539       1 00000070h 0Ch 
540       1 00000074h 0Ch 
541       1 00000070h 0Ch 
542       1 00000074h 0Ch 
543       1 00000070h 0Ch 
544       1 00000074h 0Ch 
545       1 00000070h 0Ch 
546       1 00000074h 0Ch 
547       1 00000070h 0Ch 
548       1 00000074h 0Ch 
549       1 00000070h 0Ch 
550       1 00000074h 0Ch 
551       1 00000070h 0Ch 
552       1 00000074h 0Ch 
553       1 00000070h 0Ch 
554       1 00000074h 0Ch 
555       1 00000070h 0Ch 
556       1 00000074h 0Ch 
557       1 00000070h 0Ch 
558       1 00000074h 0Ch 
